Alunos,Distância,Curso,Situação da Matricula,Semestre da Evasão,Ano de ingresso
Aluno 91,"48,5 km",Bacharelado,Cursando,*,2022
Aluno 92,"48,5 km",Bacharelado,Cursando,*,2023
Aluno 93,"48,5 km",Bacharelado,Cursando,*,2023
Aluno 94,"48,5 km",Bacharelado,Cursando,*,2023
Aluno 95,"48,5 km",Licenciatura,Cursando,*,2022
Aluno 96,"48,5 km",Licenciatura,Cursando,*,2023
Aluno 97,"24,6 km",Bacharelado,Cursando,*,2022
Aluno 98,"24,6 km",Licenciatura,Cursando,*,2023
Aluno 99,134 km,Licenciatura,Cursando,*,2022
Aluno 100,"84,9 km",Licenciatura,Evadido,2023.1,2023
